City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp(F),Wind Speed
Whitehorse,75.0,CA,03-24-19,29.0,60.72,-135.06,48.2,3.36
Baiao,64.0,BR,03-24-19,96.0,-2.79,-49.67,74.91,3.38
Vung Tau,76.0,VN,03-24-19,97.0,10.35,107.08,81.39,17.81
Valdivia,8.0,CL,03-24-19,45.0,-39.81,-73.25,68.0,10.29
Lardos,0.0,GR,03-24-19,38.0,36.09,28.02,60.01,14.99
Ocos,90.0,GT,03-24-19,66.0,14.51,-92.19,89.6,6.93
Kruisfontein,80.0,ZA,03-24-19,91.0,-34.0,24.73,66.0,12.44
Wiarton,90.0,CA,03-24-19,79.0,44.74,-81.13,30.99,9.17
Moron,0.0,VE,03-24-19,75.0,10.49,-68.2,72.48,3.27
Lufilufi,75.0,WS,03-24-19,70.0,-13.87,-171.6,86.0,3.36
Marovoay,20.0,MG,03-24-19,83.0,-16.11,46.64,78.8,2.24
Kiunga,88.0,PG,03-24-19,93.0,-6.12,141.3,75.9,2.71
Marienburg,75.0,DE,03-24-19,70.0,52.12,9.98,43.0,10.29
Rio Grande,40.0,BR,03-24-19,47.0,-32.03,-52.1,80.6,6.93
Tiarei,75.0,PF,03-24-19,66.0,-17.53,-149.33,87.8,10.29
Sheridan,75.0,US,03-24-19,37.0,39.65,-105.03,55.99,9.17
Rocky Mountain House,36.0,CA,03-24-19,65.0,52.38,-114.92,41.43,9.08
Havoysund,75.0,NO,03-24-19,63.0,71.0,24.66,30.2,32.21
Kaitangata,68.0,NZ,03-24-19,79.0,-46.28,169.85,71.58,3.83
Mitsamiouli,20.0,KM,03-24-19,78.0,-11.38,43.28,78.8,6.93
Vardo,1.0,US,03-24-19,25.0,39.62,-77.74,64.4,4.7
Grindavik,0.0,IS,03-24-19,100.0,63.84,-22.43,33.01,11.41
Port Blair,12.0,IN,03-24-19,100.0,11.67,92.75,81.75,7.52
Solnechnyy,0.0,RU,03-24-19,70.0,50.72,136.64,16.23,3.15
Kandhla,88.0,IN,03-24-19,55.0,29.32,77.27,65.19,2.93
Nanning,90.0,CN,03-24-19,93.0,22.83,108.3,55.4,4.47
Katangli,92.0,RU,03-24-19,97.0,51.71,143.23,23.43,14.0
Nouna,88.0,BF,03-24-19,31.0,12.73,-3.87,81.3,6.62
Half Moon Bay,90.0,US,03-24-19,44.0,37.46,-122.43,68.0,3.36
Chicama,40.0,PE,03-24-19,83.0,-7.84,-79.15,71.6,12.75
Sioux Lookout,5.0,CA,03-24-19,25.0,50.1,-91.92,28.4,8.05
Santiago del Estero,36.0,AR,03-24-19,73.0,-27.8,-64.26,74.01,3.27
Coihaique,0.0,CL,03-24-19,54.0,-45.58,-72.07,59.0,4.7
Sao Geraldo do Araguaia,80.0,BR,03-24-19,98.0,-6.4,-48.55,73.47,3.38
Chechat,0.0,IN,03-24-19,87.0,24.77,75.88,64.38,4.38
Fayaoue,32.0,NC,03-24-19,97.0,-20.65,166.53,81.57,19.26
Lakhisarai,0.0,IN,03-24-19,65.0,25.18,86.09,63.48,2.93
Lorengau,68.0,PG,03-24-19,99.0,-2.02,147.27,82.47,8.97
Nador,0.0,MA,03-24-19,87.0,35.17,-2.93,59.0,1.12
Sao Filipe,0.0,CV,03-24-19,100.0,14.9,-24.5,69.15,10.2
Kandrian,88.0,PG,03-24-19,91.0,-6.21,149.55,79.41,2.93
Praxedis Guerrero,20.0,MX,03-24-19,10.0,31.37,-106.02,75.99,5.82
Sungairaya,24.0,ID,03-24-19,84.0,0.7,108.9,79.68,5.17
Fare,92.0,PF,03-24-19,100.0,-16.7,-151.02,81.21,12.1
Flin Flon,20.0,CA,03-24-19,35.0,54.77,-101.88,24.8,6.93
Aasiaat,64.0,GL,03-24-19,80.0,68.71,-52.87,25.68,26.53
Havre-Saint-Pierre,20.0,CA,03-24-19,31.0,50.23,-63.6,21.2,16.11
Grand Gaube,75.0,MU,03-24-19,74.0,-20.01,57.66,82.4,10.29
Sabang,64.0,PH,03-24-19,100.0,13.72,123.58,75.81,6.73
College,1.0,US,03-24-19,45.0,64.86,-147.8,53.01,12.75
Constitucion,5.0,MX,03-24-19,5.0,23.99,-104.67,82.0,6.93
Turukhansk,80.0,RU,03-24-19,86.0,65.8,87.96,23.43,9.98
Valleyview,64.0,CA,03-24-19,72.0,55.07,-117.28,47.28,11.1
Palmer,75.0,AU,03-24-19,76.0,-34.85,139.16,64.99,25.28
Sinnamary,68.0,GF,03-24-19,92.0,5.38,-52.96,80.4,12.1
Simpang,75.0,MY,03-24-19,88.0,4.82,100.71,77.0,2.24
Maua,48.0,KE,03-24-19,74.0,0.23,37.94,65.01,2.15
Kathu,0.0,ZA,03-24-19,62.0,-27.7,23.05,69.01,2.93
Waipawa,0.0,NZ,03-24-19,56.0,-39.94,176.59,75.99,5.99
Abha,0.0,SA,03-24-19,67.0,18.22,42.5,64.4,6.93
Kyabe,92.0,TD,03-24-19,44.0,9.45,18.94,89.49,6.4
Hami,0.0,CN,03-24-19,49.0,42.84,93.51,32.07,5.28
Pindiga,44.0,NG,03-24-19,37.0,9.98,10.93,77.25,4.61
Tautira,75.0,PF,03-24-19,66.0,-17.73,-149.15,87.8,10.29
Zhanaozen,76.0,KZ,03-24-19,90.0,43.35,52.85,43.14,9.19
Sitka,0.0,US,03-24-19,51.0,37.17,-99.65,63.0,10.0
Ranong,20.0,TH,03-24-19,88.0,9.96,98.62,78.8,3.36
Capao da Canoa,8.0,BR,03-24-19,93.0,-29.75,-50.01,77.97,12.21
Imbituba,40.0,BR,03-24-19,74.0,-28.24,-48.67,78.8,10.29
Traverse City,90.0,US,03-24-19,64.0,44.76,-85.62,39.0,5.82
San Jose,0.0,PH,03-24-19,70.0,15.79,120.99,75.0,2.93
Kalmar,32.0,SE,03-24-19,74.0,56.66,16.36,39.99,5.82
Killybegs,92.0,IE,03-24-19,87.0,54.63,-8.45,42.01,1.01
Zhengjiatun,80.0,CN,03-24-19,60.0,43.51,123.51,34.05,3.94
Dongsheng,64.0,CN,03-24-19,99.0,29.72,112.52,45.3,8.63
Mareeba,48.0,AU,03-24-19,78.0,-16.99,145.42,82.0,8.05
Regina,75.0,CA,03-24-19,43.0,50.45,-104.62,35.6,5.82
Saint-Ambroise,0.0,FR,03-24-19,86.0,47.25,-0.65,46.0,5.82
Barabai,68.0,ID,03-24-19,92.0,-2.59,115.38,75.81,1.36
Faya,0.0,SA,03-24-19,67.0,18.39,42.45,64.4,6.93
Orlovskiy,80.0,RU,03-24-19,79.0,46.87,42.05,35.85,11.1
Ust-Nera,48.0,RU,03-24-19,73.0,64.57,143.24,0.48,2.71
Magaria,0.0,NE,03-24-19,19.0,13.0,8.91,79.5,14.9
Kenai,90.0,US,03-24-19,88.0,60.55,-151.26,48.0,5.82
Quatre Cocos,75.0,MU,03-24-19,74.0,-20.21,57.76,82.4,10.29
Mount Gambier,75.0,AU,03-24-19,81.0,-37.83,140.78,48.2,25.28
Homer,90.0,US,03-24-19,70.0,59.64,-151.54,48.0,6.93
Cangzhou,0.0,CN,03-24-19,49.0,38.3,116.85,48.27,3.6
Alakurtti,56.0,RU,03-24-19,92.0,66.96,30.34,25.0,3.0
Calabozo,0.0,VE,03-24-19,35.0,8.92,-67.43,88.32,11.43
Severnyy-Kospashskiy,88.0,RU,03-24-19,80.0,59.09,57.8,28.99,1.01
Dandong,32.0,CN,03-24-19,80.0,40.12,124.37,40.08,4.61
Kavaratti,0.0,IN,03-24-19,100.0,10.57,72.64,83.1,2.93
Konza,20.0,KE,03-24-19,77.0,-1.74,37.13,64.4,6.93
Tabou,44.0,CI,03-24-19,94.0,4.42,-7.36,84.27,11.21
Guerrero Negro,12.0,MX,03-24-19,50.0,27.97,-114.04,69.15,13.11
Paoua,92.0,CF,03-24-19,61.0,7.24,16.43,78.15,7.63
Lashio,0.0,MM,03-24-19,82.0,22.93,97.75,57.81,1.92
Upata,0.0,VE,03-24-19,38.0,8.02,-62.41,84.18,9.64
Virginia Beach,1.0,US,03-24-19,25.0,36.85,-75.98,69.8,8.75
Khandbari,36.0,NP,03-24-19,71.0,27.38,87.21,30.18,1.7
Lieksa,76.0,FI,03-24-19,87.0,63.32,30.02,31.89,5.95
Vostok,88.0,RU,03-24-19,89.0,46.45,135.83,30.36,2.93
Finschhafen,64.0,PG,03-24-19,87.0,-6.6,147.85,78.78,2.15
Bealanana,92.0,MG,03-24-19,96.0,-14.54,48.75,66.18,2.15
Barentu,0.0,ER,03-24-19,51.0,15.11,37.59,63.48,2.59
Victor Harbor,75.0,AU,03-24-19,76.0,-35.55,138.62,60.01,25.28
Dukat,0.0,RS,03-24-19,59.0,42.44,22.31,41.0,1.7
Moerai,80.0,PF,03-24-19,99.0,-22.43,-151.33,80.76,4.05
Bolshaya Dzhalga,12.0,RU,03-24-19,82.0,45.97,42.7,35.04,13.44
Leningradskiy,76.0,RU,03-24-19,100.0,69.38,178.42,4.08,9.64
Saquena,8.0,PE,03-24-19,89.0,-4.67,-73.52,79.77,2.93
Mazatlan,5.0,MX,03-24-19,28.0,23.22,-106.42,84.2,9.17
Mursalimkino,24.0,RU,03-24-19,65.0,55.04,58.56,20.55,5.95
Kalevala,88.0,FI,03-24-19,88.0,64.12,29.58,31.44,6.62
Baghdad,0.0,IQ,03-24-19,72.0,33.3,44.38,64.4,24.16
Lensk,56.0,RU,03-24-19,73.0,60.71,114.91,5.34,3.38
Rorvik,75.0,NO,03-24-19,100.0,64.86,11.24,32.0,4.7
Kjollefjord,75.0,NO,03-24-19,68.0,70.95,27.35,30.2,23.04
Mokrous,80.0,RU,03-24-19,97.0,51.24,47.51,31.8,11.99
Okahandja,76.0,NA,03-24-19,86.0,-21.98,16.91,60.51,3.94
Uvat,32.0,RU,03-24-19,94.0,59.14,68.9,25.5,7.29
Humaita,40.0,AR,03-24-19,56.0,-24.93,-65.37,77.0,8.05
Antsohihy,80.0,MG,03-24-19,100.0,-14.88,47.99,73.11,5.61
Taksimo,0.0,RU,03-24-19,44.0,56.36,114.84,-3.4,2.48
Udachnyy,0.0,RU,03-24-19,54.0,66.42,112.4,-11.68,2.37
Saint-Francois,90.0,FR,03-24-19,87.0,46.42,3.91,42.8,3.36
Maldonado,40.0,UY,03-24-19,63.0,-34.91,-54.96,64.4,23.04
Caravelas,80.0,BR,03-24-19,100.0,-17.73,-39.27,82.47,13.67
Balkanabat,12.0,TM,03-24-19,83.0,39.51,54.36,42.15,3.04
Mackenzie,1.0,CA,03-24-19,63.0,55.34,-123.09,44.6,8.05
Havelock,1.0,US,03-24-19,36.0,34.88,-76.9,64.99,13.87
Piacabucu,76.0,BR,03-24-19,99.0,-10.41,-36.43,74.28,6.17
Kushiro,20.0,JP,03-24-19,73.0,43.11,144.15,23.0,2.24
Strathmore,90.0,CA,03-24-19,73.0,51.04,-113.4,34.0,8.05
Zhob,48.0,PK,03-24-19,84.0,31.34,69.45,39.81,1.14
Manuk Mangkaw,68.0,PH,03-24-19,100.0,4.8,119.85,81.21,4.61
Hulan Ergi,0.0,CN,03-24-19,47.0,47.2,123.63,34.14,15.79
Belle Fourche,90.0,US,03-24-19,87.0,44.67,-103.85,44.01,10.29
Benemerito de las Americas,0.0,MX,03-24-19,37.0,16.52,-90.64,83.91,2.37
Lima,0.0,PE,03-24-19,69.0,-12.06,-77.04,75.2,12.75
Alice,75.0,US,03-24-19,69.0,27.75,-98.07,84.2,14.99
Vao,8.0,EE,03-24-19,86.0,59.1,26.19,31.26,9.64
La Palma,76.0,CO,03-24-19,95.0,5.36,-74.39,69.15,1.48
Ocean City,1.0,US,03-24-19,43.0,30.44,-86.61,73.4,9.17
Inuvik,40.0,CA,03-24-19,92.0,68.36,-133.71,32.0,3.38
Cape Canaveral,1.0,US,03-24-19,50.0,28.41,-80.6,77.0,11.41
Russell,0.0,AR,03-24-19,25.0,-33.01,-68.8,73.4,6.93
Sapozhok,76.0,RU,03-24-19,92.0,53.94,40.68,34.0,3.0
Guasdualito,0.0,VE,03-24-19,46.0,7.24,-70.73,88.41,3.94
Drezdenko,0.0,PL,03-24-19,79.0,52.84,15.83,35.13,5.61
Marfino,0.0,RU,03-24-19,92.0,56.07,37.56,35.01,8.95
Revelstoke,1.0,CA,03-24-19,70.0,50.99,-118.19,48.2,3.36
Arrifes,20.0,PT,03-24-19,82.0,37.77,-25.7,57.2,9.17
Plettenberg Bay,88.0,ZA,03-24-19,97.0,-34.05,23.37,67.26,11.77
Sirvintos,0.0,LT,03-24-19,80.0,55.05,24.95,33.8,2.24
Puerto Carreno,8.0,CO,03-24-19,30.0,6.19,-67.49,98.6,2.15
Praia da Vitoria,20.0,PT,03-24-19,87.0,38.73,-27.07,59.0,9.42
Porto Walter,8.0,BR,03-24-19,80.0,-8.27,-72.74,81.57,1.92
Kieta,12.0,PG,03-24-19,97.0,-6.22,155.63,82.47,4.72
Porto Novo,40.0,BR,03-24-19,78.0,-23.68,-45.44,73.4,12.75
Nouadhibou,0.0,MR,03-24-19,82.0,20.93,-17.03,64.4,3.36
Kamaishi,20.0,JP,03-24-19,58.0,39.28,141.86,43.41,9.64
Isangel,75.0,VU,03-24-19,70.0,-19.55,169.27,84.2,9.17
Los Negros,40.0,CU,03-24-19,65.0,20.23,-76.31,84.2,13.87
Uarini,40.0,BR,03-24-19,83.0,-2.98,-65.16,82.4,3.36
Vanavara,0.0,RU,03-24-19,70.0,60.35,102.28,0.75,2.59
Iqaluit,90.0,CA,03-24-19,71.0,63.75,-68.52,3.2,6.93
Orkney,0.0,ZA,03-24-19,74.0,-26.98,26.67,62.4,9.42
Galmaarden,0.0,BE,03-24-19,70.0,50.75,3.97,46.0,5.82
Gobabis,100.0,NA,03-24-19,95.0,-22.45,18.97,61.41,3.04
Raton,75.0,US,03-24-19,30.0,36.9,-104.44,57.2,5.82
Fukue,40.0,JP,03-24-19,65.0,35.03,136.69,54.0,5.82
Cartagena,68.0,ES,03-24-19,71.0,37.63,-1.0,55.0,5.82
Farafangana,92.0,MG,03-24-19,100.0,-22.82,47.83,74.73,7.18
Tiznit,20.0,MA,03-24-19,68.0,29.7,-9.73,63.57,8.63
Templin,40.0,DE,03-24-19,76.0,53.12,13.5,43.0,2.24
San Jeronimo,88.0,PE,03-24-19,84.0,-13.65,-73.37,49.08,1.92
Pecos,1.0,US,03-24-19,9.0,31.42,-103.49,84.2,17.22
Veracruz,40.0,VE,03-24-19,58.0,7.66,-72.25,86.0,9.17
Brownwood,1.0,US,03-24-19,37.0,31.71,-98.99,84.99,8.05
San Policarpo,80.0,PH,03-24-19,91.0,12.18,125.51,77.97,9.75
Shache,24.0,CN,03-24-19,75.0,38.42,77.24,35.67,3.6
Assiniboia,92.0,CA,03-24-19,99.0,49.63,-105.99,31.17,9.98
Hirara,75.0,JP,03-24-19,88.0,24.8,125.28,69.8,11.41
ChengDe,0.0,CN,03-24-19,32.0,40.97,117.93,40.71,6.4
Magadan,0.0,RU,03-24-19,98.0,59.56,150.8,21.09,7.63
Marsabit,0.0,KE,03-24-19,70.0,2.34,37.99,73.47,4.94
Lagoa,0.0,PT,03-24-19,77.0,37.14,-8.45,61.0,9.17
Nishihara,90.0,JP,03-24-19,59.0,35.74,139.53,50.0,6.17
Itapetininga,32.0,BR,03-24-19,48.0,-23.59,-48.05,78.06,10.65
Halifax,40.0,CA,03-24-19,39.0,44.65,-63.58,46.0,11.41
Veraval,0.0,FR,03-24-19,86.0,49.65,0.71,42.8,2.24
Sibolga,32.0,ID,03-24-19,100.0,1.74,98.78,67.89,1.59
Solhan,8.0,TR,03-24-19,88.0,38.97,41.05,14.79,2.37
Williston,90.0,US,03-24-19,100.0,48.15,-103.62,30.2,11.41
Dong Hoi,100.0,VN,03-24-19,100.0,17.48,106.6,71.49,9.75
Alghero,0.0,IT,03-24-19,100.0,40.56,8.32,50.0,2.24
Grand-Lahou,36.0,CI,03-24-19,79.0,5.24,-5.0,80.85,7.18
Rawson,0.0,AR,03-24-19,65.0,-43.3,-65.11,52.5,8.19
Lewistown,90.0,US,03-24-19,87.0,40.39,-90.15,55.4,5.82
Galle,40.0,US,03-24-19,61.0,29.74,-97.91,82.99,12.75
Hinjilikatu,0.0,IN,03-24-19,87.0,19.48,84.75,66.72,2.82
Kambove,48.0,CD,03-24-19,94.0,-10.88,26.6,63.75,2.59
Beloha,8.0,MG,03-24-19,81.0,-25.17,45.06,74.91,13.89
Kerouane,0.0,GN,03-24-19,90.0,12.23,-12.34,68.16,2.48
Orange Cove,1.0,US,03-24-19,45.0,36.62,-119.31,69.01,3.94
Benghazi,0.0,LY,03-24-19,100.0,32.12,20.07,60.6,9.98
Colesberg,0.0,ZA,03-24-19,93.0,-30.72,25.1,54.03,3.71
Bowen,92.0,AU,03-24-19,88.0,-20.01,148.25,84.99,5.82
Atbasar,88.0,KZ,03-24-19,80.0,51.81,68.36,26.85,4.61
Vitim,32.0,RU,03-24-19,68.0,59.44,112.57,1.2,3.27
Luena,92.0,AO,03-24-19,74.0,-11.78,19.91,68.7,5.61
Kalangala,76.0,UG,03-24-19,95.0,-0.32,32.29,78.78,6.4
Rafaela,0.0,AR,03-24-19,39.0,-31.25,-61.49,71.01,4.0
Lalmohan,0.0,BD,03-24-19,85.0,22.34,90.74,70.77,3.15
Jalu,0.0,LY,03-24-19,49.0,29.03,21.55,59.61,12.44
Mehran,90.0,IR,03-24-19,87.0,33.12,46.17,51.8,18.34
Amot,56.0,NO,03-24-19,80.0,59.57,7.99,27.48,4.61
Dawlatabad,92.0,AF,03-24-19,76.0,36.41,64.91,49.89,5.39
Shingu,20.0,JP,03-24-19,100.0,33.72,135.99,55.38,5.39
Eyl,100.0,SO,03-24-19,100.0,7.98,49.82,77.97,5.73
Port Hardy,20.0,CA,03-24-19,70.0,50.7,-127.42,48.2,4.7
Lakes Entrance,68.0,AU,03-24-19,53.0,-37.88,147.99,73.99,13.56
Ngunguru,12.0,NZ,03-24-19,94.0,-35.62,174.5,66.99,3.0
